Animal,Age,Temperature,Symptom 1,Symptom 2,Symptom 3,Disease
sheep,10,104.9,depression,loss of appetite,crackling sound,pneumonia
goat,4,101.3,swelling in muscle,loss of appetite,crackling sound,blackleg
buffalo,7,100.2,sores on hooves,difficulty walking,loss of appetite,foot and mouth
buffalo,12,100.3,chills,shortness of breath,fatigue,anthrax
sheep,3,101.4,lameness,loss of appetite,sores on hooves,foot and mouth
cow,7,102.8,loss of appetite,depression,nasal discharge,pneumonia
cow,3,100.1,lameness,depression,crackling sound,blackleg
cow,2,101.1,difficulty walking,crackling sound,depression,blackleg
buffalo,7,103.6,painless lumps,loss of appetite,depression,lumpy virus
sheep,8,102.6,loss of appetite,difficulty walking,blisters on mouth,foot and mouth
buffalo,3,104.5,nasal discharge,crackling sound,loss of appetite,pneumonia
cow,7,101.4,shortness of breath,swelling in extremities,fatigue,anthrax
buffalo,14,102.4,fatigue,sweats,swelling in neck,anthrax
goat,4,104.5,swelling in muscle,crackling sound,depression,blackleg
buffalo,6,102.1,swelling in neck,chest discomfort,chills,anthrax
sheep,2,101.5,chills,sweats,fatigue,anthrax
cow,3,100.7,painless lumps,depression,loss of appetite,lumpy virus
goat,6,101.2,depression,swelling in limb,crackling sound,blackleg
cow,7,102.5,blisters on mouth,loss of appetite,difficulty walking,foot and mouth
cow,2,102.4,difficulty walking,loss of appetite,blisters on mouth,foot and mouth
buffalo,5,100.3,blisters on gums,lameness,loss of appetite,foot and mouth
goat,10,104.3,lameness,loss of appetite,blisters on hooves,foot and mouth
goat,9,100.4,loss of appetite,sores on tongue,difficulty walking,foot and mouth
cow,4,100.1,difficulty walking,swelling in muscle,depression,blackleg
cow,2,102.2,shortness of breath,swelling in abdomen,fatigue,anthrax
buffalo,6,101.3,fatigue,swelling in extremities,sweats,anthrax
goat,9,104.5,swelling in limb,crackling sound,difficulty walking,blackleg
cow,12,102.7,crackling sound,lameness,depression,blackleg
buffalo,6,101.7,painless lumps,loss of appetite,depression,lumpy virus
cow,14,100.4,blisters on tongue,lameness,loss of appetite,foot and mouth
goat,2,100.2,blisters on gums,difficulty walking,loss of appetite,foot and mouth
sheep,10,104.0,nasal discharge,chest discomfort,cough,pneumonia
buffalo,4,104.3,fatigue,chest discomfort,swelling in abdomen,anthrax
goat,7,104.5,depression,loss of appetite,painless lumps,lumpy virus
sheep,4,104.1,sweats,swelling in extremities,shortness of breath,anthrax
goat,3,101.8,loss of appetite,painless lumps,depression,lumpy virus
buffalo,1,102.3,chest discomfort,nasal discharge,cough,pneumonia
goat,5,104.1,fatigue,chills,shortness of breath,anthrax
buffalo,15,100.3,loss of appetite,swelling in muscle,crackling sound,blackleg
goat,1,102.1,shortness of breath,chills,sweats,anthrax
buffalo,10,104.1,loss of appetite,blisters on hooves,difficulty walking,foot and mouth
goat,8,100.8,loss of appetite,lameness,sores on mouth,foot and mouth
cow,7,100.8,shortness of breath,loss of appetite,depression,pneumonia
buffalo,3,104.5,chills,chest discomfort,fatigue,anthrax
cow,3,103.3,depression,loss of appetite,shortness of breath,pneumonia
buffalo,4,100.2,chills,chest discomfort,swelling in abdomen,anthrax
cow,13,103.4,shortness of breath,chills,chest discomfort,anthrax
buffalo,7,101.7,crackling sound,lameness,depression,blackleg
buffalo,2,103.5,loss of appetite,difficulty walking,swelling in muscle,blackleg
sheep,2,103.4,depression,loss of appetite,painless lumps,lumpy virus
buffalo,3,100.7,crackling sound,shortness of breath,depression,pneumonia
cow,14,104.2,painless lumps,loss of appetite,depression,lumpy virus
sheep,6,102.4,depression,loss of appetite,painless lumps,lumpy virus
buffalo,15,103.1,swelling in muscle,depression,difficulty walking,blackleg
buffalo,10,103.9,loss of appetite,depression,painless lumps,lumpy virus
sheep,3,104.3,blisters on mouth,lameness,loss of appetite,foot and mouth
cow,7,103.3,loss of appetite,chest discomfort,nasal discharge,pneumonia
buffalo,15,101.0,swelling in abdomen,chills,chest discomfort,anthrax
sheep,8,104.5,difficulty walking,blisters on hooves,loss of appetite,foot and mouth
buffalo,13,104.7,painless lumps,loss of appetite,depression,lumpy virus
goat,4,103.5,blisters on mouth,loss of appetite,lameness,foot and mouth
buffalo,5,101.2,difficulty walking,swelling in limb,loss of appetite,blackleg
goat,2,102.3,crackling sound,loss of appetite,swelling in muscle,blackleg
sheep,6,103.7,chest discomfort,cough,shortness of breath,pneumonia
buffalo,6,101.7,cough,shortness of breath,chest discomfort,pneumonia
cow,15,100.6,loss of appetite,lameness,blisters on gums,foot and mouth
sheep,8,103.8,depression,difficulty walking,crackling sound,blackleg
buffalo,1,100.1,fatigue,chest discomfort,chills,anthrax
goat,2,104.8,loss of appetite,painless lumps,depression,lumpy virus
goat,9,103.4,depression,chest discomfort,cough,pneumonia
goat,3,102.1,painless lumps,depression,loss of appetite,lumpy virus
buffalo,15,104.7,lameness,loss of appetite,crackling sound,blackleg
buffalo,1,102.5,sweats,chest discomfort,swelling in abdomen,anthrax
goat,10,102.5,sores on gums,loss of appetite,lameness,foot and mouth
goat,10,103.2,swelling in muscle,crackling sound,difficulty walking,blackleg
sheep,4,101.3,blisters on gums,lameness,loss of appetite,foot and mouth
cow,10,104.2,cough,chest discomfort,shortness of breath,pneumonia
buffalo,13,104.2,loss of appetite,depression,crackling sound,pneumonia
goat,2,104.2,depression,painless lumps,loss of appetite,lumpy virus
sheep,1,102.2,depression,loss of appetite,painless lumps,lumpy virus
goat,1,101.7,fatigue,shortness of breath,swelling in extremities,anthrax
buffalo,15,100.5,chest discomfort,chills,swelling in abdomen,anthrax
cow,3,101.3,depression,loss of appetite,painless lumps,lumpy virus
goat,10,104.8,depression,loss of appetite,painless lumps,lumpy virus
cow,10,102.6,chest discomfort,crackling sound,nasal discharge,pneumonia
buffalo,4,104.8,cough,depression,loss of appetite,pneumonia
buffalo,13,104.9,swelling in limb,crackling sound,loss of appetite,blackleg
buffalo,15,102.9,depression,swelling in muscle,crackling sound,blackleg
sheep,3,103.0,crackling sound,loss of appetite,difficulty walking,blackleg
sheep,3,102.8,lameness,swelling in muscle,depression,blackleg
buffalo,8,102.5,depression,shortness of breath,nasal discharge,pneumonia
sheep,8,100.7,difficulty walking,blisters on tongue,loss of appetite,foot and mouth
cow,10,102.7,blisters on hooves,loss of appetite,lameness,foot and mouth
buffalo,1,102.5,chest discomfort,crackling sound,cough,pneumonia
buffalo,15,103.4,chills,swelling in neck,fatigue,anthrax
goat,3,101.2,swelling in limb,crackling sound,lameness,blackleg
cow,8,103.3,lameness,loss of appetite,swelling in muscle,blackleg
cow,6,100.3,depression,loss of appetite,difficulty walking,blackleg
cow,13,104.4,blisters on mouth,lameness,loss of appetite,foot and mouth
goat,2,100.7,loss of appetite,sores on tongue,difficulty walking,foot and mouth
cow,11,100.1,lameness,swelling in muscle,depression,blackleg
buffalo,3,103.0,sweats,chills,chest discomfort,anthrax
buffalo,4,100.8,shortness of breath,crackling sound,chest discomfort,pneumonia
buffalo,10,101.6,lameness,depression,swelling in muscle,blackleg
buffalo,8,103.7,sores on mouth,difficulty walking,loss of appetite,foot and mouth
buffalo,1,102.7,depression,shortness of breath,loss of appetite,pneumonia
buffalo,2,103.4,shortness of breath,chest discomfort,sweats,anthrax
cow,8,101.0,shortness of breath,sweats,chest discomfort,anthrax
cow,3,103.6,crackling sound,difficulty walking,loss of appetite,blackleg
goat,3,102.6,painless lumps,loss of appetite,depression,lumpy virus
sheep,5,100.2,lameness,loss of appetite,crackling sound,blackleg
cow,5,102.5,blisters on mouth,lameness,loss of appetite,foot and mouth
sheep,3,104.8,lameness,sores on hooves,loss of appetite,foot and mouth
cow,14,102.7,blisters on tongue,loss of appetite,difficulty walking,foot and mouth
goat,9,104.6,depression,loss of appetite,lameness,blackleg
cow,12,104.9,sweats,swelling in neck,chills,anthrax
buffalo,12,100.9,depression,painless lumps,loss of appetite,lumpy virus
sheep,2,105.0,depression,painless lumps,loss of appetite,lumpy virus
goat,4,100.8,loss of appetite,lameness,crackling sound,blackleg
cow,6,100.8,chest discomfort,swelling in neck,sweats,anthrax
sheep,1,100.4,chills,fatigue,sweats,anthrax
goat,6,104.3,loss of appetite,blisters on mouth,lameness,foot and mouth
buffalo,14,102.9,depression,crackling sound,swelling in limb,blackleg
goat,8,101.9,swelling in limb,difficulty walking,crackling sound,blackleg
cow,6,101.2,depression,painless lumps,loss of appetite,lumpy virus
buffalo,6,102.3,chest discomfort,fatigue,shortness of breath,anthrax
cow,11,104.9,cough,chest discomfort,crackling sound,pneumonia
cow,10,101.6,loss of appetite,crackling sound,cough,pneumonia
goat,8,102.6,crackling sound,loss of appetite,depression,blackleg
buffalo,5,101.4,loss of appetite,depression,painless lumps,lumpy virus
cow,2,104.2,loss of appetite,lameness,blisters on mouth,foot and mouth
buffalo,10,100.5,painless lumps,loss of appetite,depression,lumpy virus
sheep,9,104.0,shortness of breath,loss of appetite,crackling sound,pneumonia
cow,14,101.5,sores on gums,loss of appetite,lameness,foot and mouth
sheep,4,104.0,difficulty walking,sores on hooves,loss of appetite,foot and mouth
goat,1,100.8,loss of appetite,swelling in muscle,depression,blackleg
cow,10,100.6,loss of appetite,sores on hooves,lameness,foot and mouth
goat,3,103.8,loss of appetite,swelling in limb,depression,blackleg
sheep,10,102.4,swelling in muscle,difficulty walking,loss of appetite,blackleg
cow,4,103.2,cough,shortness of breath,chest discomfort,pneumonia
buffalo,5,104.0,chills,fatigue,swelling in neck,anthrax
goat,9,101.1,loss of appetite,painless lumps,depression,lumpy virus
goat,3,100.5,swelling in limb,difficulty walking,depression,blackleg
sheep,8,100.8,loss of appetite,difficulty walking,blisters on hooves,foot and mouth
sheep,7,102.4,sweats,chills,shortness of breath,anthrax
buffalo,15,101.7,fatigue,chills,swelling in extremities,anthrax
cow,1,100.6,painless lumps,depression,loss of appetite,lumpy virus
cow,9,103.1,shortness of breath,crackling sound,depression,pneumonia
sheep,5,101.3,swelling in limb,loss of appetite,depression,blackleg
cow,12,100.6,depression,swelling in limb,loss of appetite,blackleg
sheep,6,102.4,chills,swelling in extremities,fatigue,anthrax
cow,5,102.7,loss of appetite,depression,cough,pneumonia
sheep,4,103.7,cough,shortness of breath,chest discomfort,pneumonia
goat,7,102.5,crackling sound,difficulty walking,swelling in limb,blackleg
sheep,5,103.0,lameness,depression,crackling sound,blackleg
sheep,1,102.7,loss of appetite,sores on mouth,lameness,foot and mouth
buffalo,3,104.4,painless lumps,loss of appetite,depression,lumpy virus
cow,7,103.7,painless lumps,depression,loss of appetite,lumpy virus
goat,3,100.6,painless lumps,loss of appetite,depression,lumpy virus
cow,15,101.3,depression,loss of appetite,cough,pneumonia
goat,7,104.9,painless lumps,depression,loss of appetite,lumpy virus
goat,8,101.5,painless lumps,depression,loss of appetite,lumpy virus
sheep,4,103.9,blisters on mouth,loss of appetite,lameness,foot and mouth
sheep,3,103.1,crackling sound,depression,difficulty walking,blackleg
buffalo,5,103.9,chills,swelling in abdomen,sweats,anthrax
buffalo,11,102.6,fatigue,chills,swelling in extremities,anthrax
buffalo,7,102.5,loss of appetite,sores on hooves,difficulty walking,foot and mouth
sheep,3,103.7,chills,sweats,fatigue,anthrax
sheep,7,101.1,chills,shortness of breath,sweats,anthrax
buffalo,4,104.1,chest discomfort,depression,loss of appetite,pneumonia
buffalo,6,101.3,loss of appetite,depression,difficulty walking,blackleg
buffalo,1,103.0,difficulty walking,sores on mouth,loss of appetite,foot and mouth
buffalo,15,101.7,crackling sound,chest discomfort,shortness of breath,pneumonia
goat,3,100.4,shortness of breath,loss of appetite,nasal discharge,pneumonia
cow,14,100.3,fatigue,shortness of breath,sweats,anthrax
sheep,6,102.4,loss of appetite,depression,crackling sound,blackleg
buffalo,3,102.0,shortness of breath,chest discomfort,fatigue,anthrax
cow,7,100.2,shortness of breath,chest discomfort,chills,anthrax
cow,12,100.5,difficulty walking,swelling in muscle,depression,blackleg
goat,5,102.5,difficulty walking,crackling sound,depression,blackleg
cow,10,100.1,swelling in extremities,sweats,fatigue,anthrax
sheep,8,103.2,loss of appetite,lameness,depression,blackleg
sheep,6,104.0,loss of appetite,depression,painless lumps,lumpy virus
buffalo,5,100.1,depression,chest discomfort,shortness of breath,pneumonia
sheep,6,104.2,difficulty walking,blisters on hooves,loss of appetite,foot and mouth
cow,10,100.0,lameness,loss of appetite,crackling sound,blackleg
sheep,2,101.5,depression,crackling sound,difficulty walking,blackleg
buffalo,1,101.2,loss of appetite,painless lumps,depression,lumpy virus
cow,13,100.2,loss of appetite,lameness,crackling sound,blackleg
goat,5,101.4,nasal discharge,loss of appetite,cough,pneumonia
buffalo,1,102.2,painless lumps,loss of appetite,depression,lumpy virus
cow,3,100.4,chest discomfort,shortness of breath,cough,pneumonia
buffalo,4,103.5,depression,painless lumps,loss of appetite,lumpy virus
cow,10,105.0,loss of appetite,depression,difficulty walking,blackleg
cow,2,100.9,cough,chest discomfort,crackling sound,pneumonia
sheep,9,105.0,loss of appetite,blisters on hooves,lameness,foot and mouth
sheep,5,104.6,fatigue,swelling in extremities,chills,anthrax
buffalo,6,101.2,chills,chest discomfort,fatigue,anthrax
cow,9,100.2,nasal discharge,chest discomfort,shortness of breath,pneumonia
goat,4,104.3,crackling sound,nasal discharge,loss of appetite,pneumonia
buffalo,14,103.7,lameness,swelling in limb,crackling sound,blackleg
buffalo,1,101.2,blisters on mouth,difficulty walking,loss of appetite,foot and mouth
buffalo,15,101.4,sores on hooves,lameness,loss of appetite,foot and mouth
cow,11,101.0,depression,cough,shortness of breath,pneumonia
goat,3,103.6,sweats,swelling in neck,chest discomfort,anthrax
buffalo,9,104.7,lameness,crackling sound,loss of appetite,blackleg
cow,4,100.9,swelling in neck,sweats,fatigue,anthrax
cow,12,101.9,painless lumps,depression,loss of appetite,lumpy virus
buffalo,6,102.5,loss of appetite,blisters on mouth,lameness,foot and mouth
goat,6,103.6,fatigue,swelling in extremities,sweats,anthrax
cow,8,104.6,swelling in abdomen,chest discomfort,chills,anthrax
sheep,2,101.6,shortness of breath,crackling sound,nasal discharge,pneumonia
cow,6,102.9,lameness,swelling in muscle,depression,blackleg
sheep,3,102.9,loss of appetite,lameness,blisters on hooves,foot and mouth
sheep,6,102.5,fatigue,swelling in neck,sweats,anthrax
cow,7,101.7,blisters on tongue,lameness,loss of appetite,foot and mouth
goat,9,102.9,depression,loss of appetite,crackling sound,blackleg
cow,1,102.4,fatigue,sweats,chills,anthrax
cow,15,103.6,depression,painless lumps,loss of appetite,lumpy virus
goat,6,102.7,loss of appetite,blisters on hooves,lameness,foot and mouth
sheep,7,100.2,sweats,shortness of breath,fatigue,anthrax
cow,9,100.1,blisters on tongue,lameness,loss of appetite,foot and mouth
goat,6,103.1,difficulty walking,sores on gums,loss of appetite,foot and mouth
cow,15,101.8,sweats,swelling in extremities,chest discomfort,anthrax
sheep,1,101.1,depression,loss of appetite,difficulty walking,blackleg
buffalo,2,100.8,lameness,blisters on gums,loss of appetite,foot and mouth
buffalo,10,100.9,painless lumps,loss of appetite,depression,lumpy virus
goat,4,103.4,fatigue,chills,swelling in neck,anthrax
cow,8,103.7,depression,painless lumps,loss of appetite,lumpy virus
goat,9,102.1,lameness,loss of appetite,sores on mouth,foot and mouth
sheep,7,100.7,chest discomfort,depression,cough,pneumonia
buffalo,8,103.4,chest discomfort,shortness of breath,fatigue,anthrax
cow,1,102.7,difficulty walking,sores on hooves,loss of appetite,foot and mouth
cow,10,101.7,loss of appetite,lameness,blisters on tongue,foot and mouth
buffalo,3,102.0,painless lumps,loss of appetite,depression,lumpy virus
goat,1,101.7,loss of appetite,difficulty walking,sores on mouth,foot and mouth
cow,4,103.2,blisters on mouth,loss of appetite,lameness,foot and mouth
sheep,8,103.7,lameness,crackling sound,loss of appetite,blackleg
buffalo,8,100.7,lameness,sores on mouth,loss of appetite,foot and mouth
buffalo,10,102.4,fatigue,swelling in abdomen,sweats,anthrax
goat,2,100.4,chest discomfort,sweats,chills,anthrax
buffalo,14,104.7,loss of appetite,swelling in muscle,depression,blackleg
goat,5,104.8,loss of appetite,crackling sound,swelling in limb,blackleg
sheep,4,103.9,depression,loss of appetite,crackling sound,blackleg
sheep,7,100.9,shortness of breath,crackling sound,cough,pneumonia
goat,5,104.3,chest discomfort,shortness of breath,fatigue,anthrax
buffalo,1,100.5,difficulty walking,depression,crackling sound,blackleg
goat,5,103.4,crackling sound,lameness,loss of appetite,blackleg
buffalo,2,104.9,chills,sweats,fatigue,anthrax
cow,13,102.3,blisters on gums,difficulty walking,loss of appetite,foot and mouth
goat,8,103.4,blisters on mouth,loss of appetite,lameness,foot and mouth
goat,10,102.6,depression,loss of appetite,difficulty walking,blackleg
buffalo,11,101.4,nasal discharge,depression,cough,pneumonia
cow,10,101.3,loss of appetite,crackling sound,lameness,blackleg
cow,10,102.2,chest discomfort,sweats,shortness of breath,anthrax
goat,3,103.8,fatigue,shortness of breath,chest discomfort,anthrax
sheep,3,100.0,chills,swelling in neck,fatigue,anthrax
cow,2,102.2,lameness,blisters on tongue,loss of appetite,foot and mouth
buffalo,3,102.2,cough,loss of appetite,nasal discharge,pneumonia
buffalo,13,100.1,shortness of breath,depression,crackling sound,pneumonia
goat,8,104.2,shortness of breath,swelling in extremities,fatigue,anthrax
goat,1,103.7,crackling sound,loss of appetite,depression,blackleg
sheep,4,101.7,loss of appetite,difficulty walking,sores on tongue,foot and mouth
goat,9,103.4,depression,painless lumps,loss of appetite,lumpy virus
sheep,9,100.5,crackling sound,loss of appetite,depression,blackleg
goat,9,100.7,loss of appetite,crackling sound,difficulty walking,blackleg
cow,1,100.3,painless lumps,loss of appetite,depression,lumpy virus
sheep,4,102.8,depression,crackling sound,difficulty walking,blackleg
sheep,7,100.1,chest discomfort,swelling in extremities,shortness of breath,anthrax
goat,2,104.5,crackling sound,depression,lameness,blackleg
buffalo,5,100.1,depression,painless lumps,loss of appetite,lumpy virus
sheep,7,102.5,swelling in neck,shortness of breath,sweats,anthrax
sheep,7,100.0,chills,fatigue,chest discomfort,anthrax
buffalo,6,101.2,blisters on hooves,loss of appetite,lameness,foot and mouth
goat,8,100.1,swelling in muscle,depression,difficulty walking,blackleg
buffalo,14,104.8,chest discomfort,sweats,shortness of breath,anthrax
cow,7,101.1,depression,lameness,loss of appetite,blackleg
sheep,3,104.0,shortness of breath,fatigue,chest discomfort,anthrax
goat,5,102.9,nasal discharge,loss of appetite,chest discomfort,pneumonia
sheep,8,102.0,lameness,depression,loss of appetite,blackleg
sheep,10,102.8,shortness of breath,crackling sound,loss of appetite,pneumonia
cow,7,103.3,loss of appetite,blisters on hooves,difficulty walking,foot and mouth
buffalo,7,102.5,blisters on hooves,difficulty walking,loss of appetite,foot and mouth
buffalo,15,102.7,depression,nasal discharge,crackling sound,pneumonia
sheep,5,103.0,fatigue,shortness of breath,chest discomfort,anthrax
goat,10,100.9,lameness,sores on tongue,loss of appetite,foot and mouth
sheep,6,102.9,shortness of breath,chest discomfort,sweats,anthrax
goat,3,104.2,shortness of breath,depression,crackling sound,pneumonia
cow,10,101.2,lameness,loss of appetite,sores on mouth,foot and mouth
sheep,10,101.9,fatigue,sweats,chills,anthrax
sheep,1,103.9,blisters on tongue,lameness,loss of appetite,foot and mouth
sheep,9,104.6,loss of appetite,sores on gums,difficulty walking,foot and mouth
goat,9,104.8,blisters on mouth,lameness,loss of appetite,foot and mouth
cow,13,104.8,chest discomfort,depression,loss of appetite,pneumonia
sheep,5,100.7,painless lumps,loss of appetite,depression,lumpy virus
cow,15,102.9,swelling in limb,loss of appetite,depression,blackleg
goat,3,104.1,depression,nasal discharge,crackling sound,pneumonia
buffalo,12,101.5,shortness of breath,crackling sound,nasal discharge,pneumonia
cow,13,101.1,shortness of breath,depression,loss of appetite,pneumonia
sheep,7,103.6,crackling sound,depression,difficulty walking,blackleg
buffalo,4,102.2,difficulty walking,sores on gums,loss of appetite,foot and mouth
cow,13,100.8,difficulty walking,depression,swelling in muscle,blackleg
cow,2,102.6,chills,shortness of breath,sweats,anthrax
cow,11,101.7,swelling in limb,crackling sound,loss of appetite,blackleg
sheep,7,102.2,loss of appetite,lameness,sores on mouth,foot and mouth
cow,9,101.8,chest discomfort,fatigue,shortness of breath,anthrax
goat,10,101.3,loss of appetite,difficulty walking,sores on hooves,foot and mouth
goat,3,102.5,swelling in extremities,sweats,shortness of breath,anthrax
sheep,6,100.3,lameness,loss of appetite,sores on tongue,foot and mouth
cow,9,102.1,lameness,sores on hooves,loss of appetite,foot and mouth
sheep,1,103.3,difficulty walking,swelling in muscle,loss of appetite,blackleg
cow,15,102.8,loss of appetite,depression,painless lumps,lumpy virus
cow,12,102.8,chest discomfort,swelling in extremities,shortness of breath,anthrax
cow,7,101.5,loss of appetite,crackling sound,depression,blackleg
buffalo,13,100.1,blisters on tongue,lameness,loss of appetite,foot and mouth
goat,1,100.6,sweats,chest discomfort,shortness of breath,anthrax
cow,6,103.6,depression,lameness,crackling sound,blackleg
goat,10,102.4,sores on gums,loss of appetite,difficulty walking,foot and mouth
goat,7,104.6,sores on gums,difficulty walking,loss of appetite,foot and mouth
cow,15,103.6,cough,depression,crackling sound,pneumonia
goat,2,100.1,loss of appetite,depression,crackling sound,blackleg
goat,5,101.9,chest discomfort,swelling in extremities,shortness of breath,anthrax
sheep,8,103.9,nasal discharge,crackling sound,loss of appetite,pneumonia
buffalo,2,102.9,sweats,swelling in neck,shortness of breath,anthrax
buffalo,8,101.6,depression,swelling in limb,crackling sound,blackleg
cow,12,102.3,sores on gums,loss of appetite,lameness,foot and mouth
buffalo,4,100.1,crackling sound,loss of appetite,lameness,blackleg
goat,2,100.7,crackling sound,depression,lameness,blackleg
buffalo,2,101.3,chest discomfort,swelling in neck,shortness of breath,anthrax
cow,8,101.6,loss of appetite,lameness,blisters on hooves,foot and mouth
goat,7,103.0,loss of appetite,nasal discharge,cough,pneumonia
sheep,1,102.1,difficulty walking,loss of appetite,blisters on tongue,foot and mouth
buffalo,15,104.4,depression,lameness,crackling sound,blackleg
buffalo,4,103.7,depression,painless lumps,loss of appetite,lumpy virus
sheep,5,102.7,sweats,chest discomfort,fatigue,anthrax
buffalo,6,104.4,chills,fatigue,sweats,anthrax
goat,4,101.3,fatigue,chills,shortness of breath,anthrax
buffalo,7,100.7,crackling sound,depression,cough,pneumonia
cow,11,100.1,depression,painless lumps,loss of appetite,lumpy virus
cow,9,103.4,depression,loss of appetite,swelling in limb,blackleg
sheep,6,102.4,difficulty walking,blisters on tongue,loss of appetite,foot and mouth
goat,10,102.2,crackling sound,shortness of breath,chest discomfort,pneumonia
sheep,9,100.6,fatigue,shortness of breath,sweats,anthrax
cow,3,100.1,chest discomfort,chills,shortness of breath,anthrax
goat,8,102.5,lameness,loss of appetite,sores on tongue,foot and mouth
cow,7,100.8,chest discomfort,depression,nasal discharge,pneumonia
goat,5,104.4,nasal discharge,cough,loss of appetite,pneumonia
sheep,6,104.6,depression,loss of appetite,painless lumps,lumpy virus
goat,9,102.1,depression,loss of appetite,cough,pneumonia
buffalo,9,100.7,swelling in muscle,depression,difficulty walking,blackleg
goat,3,104.7,chest discomfort,shortness of breath,cough,pneumonia
buffalo,9,103.7,sores on mouth,difficulty walking,loss of appetite,foot and mouth
buffalo,7,101.4,swelling in limb,lameness,depression,blackleg
buffalo,9,104.0,painless lumps,loss of appetite,depression,lumpy virus
buffalo,10,102.3,loss of appetite,depression,painless lumps,lumpy virus
buffalo,8,102.5,chest discomfort,depression,loss of appetite,pneumonia
cow,2,100.3,swelling in limb,loss of appetite,difficulty walking,blackleg
sheep,5,103.2,chills,fatigue,sweats,anthrax
cow,10,104.4,painless lumps,loss of appetite,depression,lumpy virus
goat,9,104.6,chest discomfort,fatigue,sweats,anthrax
sheep,9,102.6,sweats,shortness of breath,chest discomfort,anthrax
buffalo,10,103.7,swelling in muscle,loss of appetite,difficulty walking,blackleg
goat,10,104.4,difficulty walking,loss of appetite,blisters on tongue,foot and mouth
sheep,7,103.3,sweats,chills,chest discomfort,anthrax
goat,6,103.9,chills,fatigue,chest discomfort,anthrax
goat,8,103.0,fatigue,chest discomfort,chills,anthrax
buffalo,5,100.1,fatigue,chills,shortness of breath,anthrax
sheep,6,101.1,crackling sound,difficulty walking,loss of appetite,blackleg
cow,6,100.8,cough,crackling sound,depression,pneumonia
sheep,2,100.3,chest discomfort,loss of appetite,nasal discharge,pneumonia
cow,4,101.6,lameness,loss of appetite,sores on tongue,foot and mouth
sheep,8,104.6,crackling sound,swelling in muscle,depression,blackleg
goat,6,101.4,loss of appetite,difficulty walking,blisters on gums,foot and mouth
goat,6,103.2,swelling in neck,chest discomfort,fatigue,anthrax
cow,8,103.2,loss of appetite,lameness,blisters on tongue,foot and mouth
buffalo,2,104.1,swelling in muscle,lameness,loss of appetite,blackleg
buffalo,5,102.7,loss of appetite,lameness,blisters on mouth,foot and mouth
goat,2,100.7,chest discomfort,swelling in neck,chills,anthrax
buffalo,3,104.7,depression,chest discomfort,loss of appetite,pneumonia
cow,7,101.8,fatigue,shortness of breath,sweats,anthrax
goat,2,104.4,lameness,blisters on hooves,loss of appetite,foot and mouth
buffalo,6,101.5,loss of appetite,shortness of breath,depression,pneumonia
buffalo,14,103.9,depression,shortness of breath,nasal discharge,pneumonia
sheep,4,104.4,loss of appetite,depression,painless lumps,lumpy virus
sheep,1,101.6,cough,shortness of breath,crackling sound,pneumonia
buffalo,3,100.9,crackling sound,depression,nasal discharge,pneumonia
buffalo,9,104.2,loss of appetite,difficulty walking,crackling sound,blackleg
buffalo,14,102.4,shortness of breath,swelling in extremities,fatigue,anthrax
sheep,1,102.7,chills,sweats,shortness of breath,anthrax
sheep,8,101.2,nasal discharge,loss of appetite,shortness of breath,pneumonia
goat,10,102.1,chills,shortness of breath,fatigue,anthrax
sheep,9,102.4,fatigue,chest discomfort,swelling in abdomen,anthrax
buffalo,1,102.0,lameness,loss of appetite,blisters on hooves,foot and mouth
cow,3,103.3,loss of appetite,depression,swelling in limb,blackleg
buffalo,14,100.1,depression,painless lumps,loss of appetite,lumpy virus
goat,8,103.2,shortness of breath,loss of appetite,crackling sound,pneumonia
buffalo,8,100.9,blisters on mouth,difficulty walking,loss of appetite,foot and mouth
cow,11,100.0,lameness,swelling in muscle,loss of appetite,blackleg
buffalo,10,100.2,depression,crackling sound,swelling in limb,blackleg
sheep,1,103.0,loss of appetite,shortness of breath,depression,pneumonia
sheep,3,100.2,loss of appetite,crackling sound,depression,pneumonia
buffalo,11,104.7,chest discomfort,depression,loss of appetite,pneumonia
cow,9,100.3,loss of appetite,blisters on gums,difficulty walking,foot and mouth
goat,5,101.2,swelling in neck,sweats,chest discomfort,anthrax
buffalo,6,102.4,crackling sound,depression,difficulty walking,blackleg
cow,4,100.3,painless lumps,depression,loss of appetite,lumpy virus
buffalo,8,100.8,loss of appetite,swelling in limb,depression,blackleg
goat,4,101.1,blisters on tongue,lameness,loss of appetite,foot and mouth
goat,5,100.8,loss of appetite,chest discomfort,nasal discharge,pneumonia
buffalo,7,102.2,difficulty walking,loss of appetite,blisters on mouth,foot and mouth
cow,12,100.7,shortness of breath,swelling in neck,chest discomfort,anthrax
goat,6,103.1,crackling sound,depression,loss of appetite,blackleg
cow,2,102.3,sweats,swelling in abdomen,chest discomfort,anthrax
goat,4,103.9,chills,fatigue,shortness of breath,anthrax
sheep,2,104.2,depression,painless lumps,loss of appetite,lumpy virus
cow,4,103.3,loss of appetite,depression,painless lumps,lumpy virus
buffalo,9,102.5,crackling sound,depression,difficulty walking,blackleg
goat,3,102.5,crackling sound,nasal discharge,cough,pneumonia
sheep,1,100.1,difficulty walking,sores on mouth,loss of appetite,foot and mouth
sheep,9,101.0,loss of appetite,depression,painless lumps,lumpy virus
goat,1,100.4,chest discomfort,cough,shortness of breath,pneumonia
